dataset,lr,weight_decay,generative_loss_w,keep_ratio,seed,embedding_dim,num_epoch,selflabeling_epcohs,drop_prob,tau,alpha,batch_size,run,subgraph_size,auc_test_rounds,num_workers,negsamp_ratio,device,logdir,pseudotype,score_type,loss_type,global_adg,continue_train,reinit,auc,attribute_auc,structure_auc
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.6,0.2,4096,1,4,256,8,1,0,log/Coraplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.8562105811832161,0.8140682825123794,0.8983528798540527
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.2,0.1,4096,1,4,256,8,1,0,log/Pubmedplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.9613189831040436,0.9513628358703424,0.9712751303377448
ogbn-arxiv,0.001,0.0,0.0,0.95,1,64,20,100,0.0,0.2,0.3,4096,1,4,20,8,1,0,log/ogbn-arxivplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.8983283494446247,0.9178353801509708,0.8788213187382787
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,1.5,0.2,4096,1,4,256,8,1,0,log/Citeseerplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.8352659741894869,0.7109768125065575,0.9595551358724164
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.6,0.3,4096,1,4,256,8,1,0,log/Coraplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.8767683085744071,0.8380140734949179,0.9155225436538962
ogbn-arxiv,0.001,0.0,0.0,0.95,1,64,20,100,0.0,0.2,0.5,4096,1,4,20,8,1,0,log/ogbn-arxivplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.9081449460133992,0.9229404198527026,0.8933494721740959
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,0.2,0.0,4096,1,4,256,8,1,0,log/ACMplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.763878349806986,-1.0,-1.0
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.2,0.2,4096,1,4,256,8,1,0,log/Pubmedplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.9646537113563844,0.955762410420045,0.9735450122927236
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.6,0.5,4096,1,4,256,8,1,0,log/Coraplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.8830205890018243,0.8399374511336981,0.9261037268699503
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,1.5,0.3,4096,1,4,256,8,1,0,log/Citeseerplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.835393977546952,0.7126093799181616,0.9581785751757422
